district_label_post,report_year,title,fund_source,award_date,start_date,completion_date,,,district_label_post_agg,award_date_txt,start_date_txt,completion_date_txt
Bawku West District Assembly,2012,COMPLETION OF 1NO 3 UNIT CLASSROOM BLOCK AT YELEWOKO,dacf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,COMPLETION OF 1NO TEACHERS QUARTERS & KVIP TOILET AT KPANTANRIGU,dacf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONST 1NO 2 STOREY BOYS DORMITORY AT KUSANABA SHS,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONST OF 1NO 2 STOREY CLASSROOM BLOCK AT KUSANABA SHS,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONST OF 1NO 6 UNIT CLASSROOM BLOCK OFFICE STORE AND ANCILLARY FACILITIES AT KAARE PRIM SCH,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONST OF 1NO 6 UNIT CLASSROOM BLOCK OFFICE STORE AND ANCILLARY FACILITIES AT YELWOKO PRIM SCH,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 2 STOREY DORMITORY BLOCK AT ZEBILLA SH/TS AT ZEBILLA,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 2 STOREY DORMITORY BLOCK AT KUSANABA SHS AT KUSANABA,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 3 UNIT CLASSROOM BLOCK URINAL AND 4 SEATER KVIP TOILET AT TETAKO,ddf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 3 UNIT CLASSROOM BLOCK 2 UNIT URINAL AND 4 SEATER KVIP AT KOMAKO PRIM SCHOOL,other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK AND OTHER ANCILLARY FACILITIES AT KOBORE,dacf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 3 UNIT CLASSROOM BLOCK AND OTHER ANCILLARY FACILITIES AT TESHIE,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK WITH OFFICE STORE STAFF COMMON ROOM AND EXTERNAL WORKS AT KERIGU PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK WITH OFFICE STORE TAFF COMMON ROOM AND EXTERNAL WORKS AT NAMOGO PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK WITH OFFICE STORE STAFF COMMON ROOM 4 SEATER KVIP 2 UNIT URINAL AND EXTERNAL WORKS AT KUKOO PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK UNIT CLASSROOM WITH OFFICE STORE OFFICE STAFF COMMON ROOM 4 SEATER KVIP 2 UNIT URINAL AND EXTERNAL WORKS AT TIMONBGWUD PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH OFFICE AND STORE AT GABURIGA PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK WITH OFFICE STORE 4 SEATER KVIP AND 2 URINAL AT TANGA AYADBABOT PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES AT BUGORE PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES AT NUSKOLIGO PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES AT ANEIGU PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES AT SAKOM PRIMARY SCHOOL,getfund,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF CHILDREN'S WARD AT DISTRICT HOSPITAL AT ZEBILLA,ddf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF CHPS FACILITY AT A BOREHOLE FENCING AND SUPPLY OF FURNITURE AT AZUWERA,other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO CHPS COMPOUND A BOREHOLE SUPPLY OF FURNITURE AND POLY TANK AT BOYA,other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,REHABILITATION OF 1NO TOWN/AREA COUNCIL AT ZEBILLA,dacf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 5 NO UNIT MARKET STALLS 1 NO 5 UNIT LOCKABLE STORES AND A BUTCHER SHOP AT TESHIE,dacf,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF COMMUNITY INFORMATION CENTRE/POST OFFICE AT ZEBILLA,other gog,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,REHABILITATION OF TOENDE DAM AT TOENDE,other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO BRIDGE ON GUMBO KPANTARIGO FR,multiple,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,CONSTRUCTION OF 1NO BRIDGE(25 00METRES) ON ZEBILLA TANGA VINABA ABUAKULAGA FR (25.00KM),multiple,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,SPOT IMPROVEMENT OF SAPELIGA GOZUNGO FR (2.4KM),other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,SPOT IMPROVEMENT OF ZEBILLA TIMONDE & OTHERS FR (12.03 KM),other gog,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,SPOT IMPROVEMENT OF SAPELIGA KAARE FR (2.00 KM),other donor,,,,,,Bawku West District Assembly,,,
Bawku West District Assembly,2012,SPOT IMPROVEMENT OF TIMONDE TIMONGORE FR (1.5 KM),other donor,,,,,,Bawku West District Assembly,,,
Bekwai Municipal Assembly,2012,DRILLING CONSTRUCTION & MECHANIZATION OF 1 NOS BOREHOLE FOR HEALTH ASSISTANT SCHOOL,other/unknown,,6/15/2012,,,,Bekwai Municipal Assembly,,2012-06-15,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 12 SEATER AQUA PRIVY TOILET,other/unknown,,8/16/2012,,,,Bekwai Municipal Assembly,,2012-08-16,
Bekwai Municipal Assembly,2012,SUPPORT FOR THE COMPLETETION OF 1 NOS 12 SEATER AQUA PRIVY TOILET,other/unknown,,12/2/2010,,,,Bekwai Municipal Assembly,,2010-12-02,
Bekwai Municipal Assembly,2012,SUPPORT FOR THE CONSTRUCTION OF 1 NOS 20 SEATER WATER CLOSET FACILITY,other/unknown,,10/19/2011,,,,Bekwai Municipal Assembly,,2011-10-19,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF TEACHERS QUARTER HATS,other/unknown,,1/16/2012,,,,Bekwai Municipal Assembly,,2012-01-16,
Bekwai Municipal Assembly,2012,REHABILITATION OF DEFECTIVE TOILETS,other/unknown,,1/16/2012,,,,Bekwai Municipal Assembly,,2012-01-16,
Bekwai Municipal Assembly,2012,REHABILITATION OF TOWN AND COUNTRY PLANNING BUILDING,other/unknown,,1/16/2012,,,,Bekwai Municipal Assembly,,2012-01-16,
Bekwai Municipal Assembly,2012,SUPPORT FOR THE COMPLETION OF 2 NOS SEMI DETACHED BUNGALOW FOR DECENTRALIZED DEPT STAFF,other/unknown,,1/5/2011,,,,Bekwai Municipal Assembly,,2011-01-05,
Bekwai Municipal Assembly,2012,RENOVATION OF MAGISTRATE COURT,other/unknown,,1/16/2012,,,,Bekwai Municipal Assembly,,2012-01-16,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 2 UNIT KG OFFICE AND SANITARY FACILITIES,other/unknown,,1/16/2012,,,,Bekwai Municipal Assembly,,2012-01-16,
Bekwai Municipal Assembly,2012,COMPLETION OF 1 NOS 3 UNIT CLASSROOM BLOCK OFFICE AND STORE AND SANITARY FACILITIES,other/unknown,,1996,,,,Bekwai Municipal Assembly,,1905-06-18,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 2 NO 12 SEATER AQUA PRIVY TOILETS,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 2 NO 12 SEATER AQUA PRIVY TOILETS,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,RENOVATION OF HEALTH DIRECTORS BUNGALOW,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 4NO BOREHOLES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 4NO BOREHOLES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1NO 2 UNIT CLASSROOM BLOCK,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,REHABILITATION OF ASSEMBLYS BLOCK,other/unknown,,12/2/2010,,,,Bekwai Municipal Assembly,,2010-12-02,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 2 STOREY SEMI DETACHED BLOCK,other/unknown,,12/2/2010,,,,Bekwai Municipal Assembly,,2010-12-02,
Bekwai Municipal Assembly,2012,COMPLETION OF 1 NOS 12 SEATER AQUA PRIVY TOILET,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 20 SEATER WATER CLOSET FACILITY,other/unknown,,10/19/2011,,,,Bekwai Municipal Assembly,,2011-10-19,
Bekwai Municipal Assembly,2012,COMPLETION OF 2 NO DORMITORY BLOCKS WITH SANITARY QUARTERS DINING HALL KITCHEN FACILITIES FOR DENYASEMAN SENIOR HIGH SCHOOL,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLOCK OFFICE AND STORE,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF FENCE WALL OFFICE AND RESTAURANT,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF WAREHOUSE FOR ASSEMBLY AND DECENTRALIZED DEPT,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,other/unknown,,9/23/2010,,,,Bekwai Municipal Assembly,,2010-09-23,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLOCK OFFICE STORE AND SANITARY FACILITIES,other/unknown,,12/2/2010,,,,Bekwai Municipal Assembly,,2010-12-02,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLOCK OFFICE STORE AND SANITARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 CLASSROOM BLOCK OFFICE AND 2 UNIT K G AND 4 SEATER AQUA PRIVY TOILET,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1NOS 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1 NOS 6 UNIT CLASSROOM BLCOK WITH ANCILLARY FACILITIES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,REHABILITATION OF 15 NO BOREHOLES,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,REHABILITATION OF 8 DEFECTIVE TOILETS,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF CULVERTS AND RESHAPING OF ROAD,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1NO 12 SEATER AQUA PRIVY TOILET,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Bekwai Municipal Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK OFFICE STORE AND TOILET,other/unknown,,,,,,Bekwai Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF SEMI DETACHED QUARTERS FOR SENIOR STAFF,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,REHABILITATION OF CIRCUIT COURT BUILDING,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1 NO  3 UNIT CLASSROOM BLOCK AT SENASE,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,SUPPLY OF 150 STREET LIGHTS,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,DRILLING OF 7 NO BOREHOLES,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,SUPPORT TO RURAL ELECTRIFICATION,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF DRESSING ROOM AT BEREKUM GOLDEN CITY STADIUM,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,MANAGEMENT OF WASTE,dacf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,PAVING OF BEREKUM CENTRAL MARKET PAVING OF WALKWAYS & OPEN SPACES EXTENSION OF ELECTRICITY AND CONSTRUCTION OF URINAL,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,REHABILITATION OF KATO AND DIASEMPA MARKET,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,ADDITIONAL WORKS FOR COMPLETION OF BEREKUM CENTRAL MARKET,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,REHABILITATION OF 17 NO KVIPS IN THE MUNICIPALITY,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 4 NO 20 SEATER CAPACITY STOPOVER MARKET SHED,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,ROOFING & FIXING OF PLASTIC CHAIRS & OTHER MAINTENANCE WORKS ON GOLDEN CITY PARK,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,PAVING & LANDSCAPING OF JINIJINI MARKET & LORRY PARK,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,PAVING OF KATO STATION AND LANDSCAPING OF OMANHENE PARK PHASE ONE,ddf,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CRASSROOM & ANCILLARY FACILITIES,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION 1 NO 6 UNIT CLASSROOM & ANCILLARY FACILITIES AT KUTRE PRESBY,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM ANCILLARY FACILITIES,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1NO 6  UNIT CLASSROOM & ANCILLARY FACILITIES AT USMANJA ISLAMIC PRIMARY SCHOOL,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION 1NO 6UNIT CLASSROOM ANCILLARY FACILITIES AT ST MONICAS PRIMARY SCHOOL,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1NO 6UNIT CLASSROOM 7 ANCILLARY FACILITIES AT JINIJINI PRESBY A SCHOOL,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1NO 2 STORY GILS DORMITORY,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1NO 2 STORY GIRLS DORMITORY,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 1 NO 2 STOREY CLASSROOM BLOCK,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 2NO 4UNITS STAFF QUARTERS,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF TECHNICAL WORKSHOP,getfund,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 6 NO INSTITUTIONAL LATERINES,other donor,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF SMALL TOWN WATER SUPPLY & SANITATION PROJECT STWSSP,other donor,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF SMALL TOWN WATER SUPPLY & SANITATION PROJECT STWSSP,other donor,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,DRILLING OF 10NO BOREHOLES,other donor,,,,,,Berekum Municipal Assembly,,,
Berekum Municipal Assembly,2012,CONSTRUCTION OF 2NO 4 SEATER 7 1NO 6 SEATER INSTITUTIONAL LATERINES,other donor,,,,,,Berekum Municipal Assembly,,,
Bia East District Assembly,2012,,,,,,,,Bia East District Assembly,,,
Bia West District Assembly,2012,CONSTRUCTION OF CENTRAL ADMINISTRATION BLOCK AND ASSEMBLY HALL COMPLEX,dacf,8/21/2009,10/9/2009,,,,Bia West District Assembly,2009-08-21,2009-10-09,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 5 ROOM CHALETS,dacf,,,,,,Bia West District Assembly,,,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 2 BEDROOM SEMI DETACHED BUNGALOW,dacf,9/26/2010,9/30/2010,,,,Bia West District Assembly,2010-09-26,2010-09-30,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 3 BEDROOM BUNGALOW FOR DISTRICT POLICE COMMANDER,dacf,9/26/2010,12/20/2010,,,,Bia West District Assembly,2010-09-26,2010-12-20,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 12UNIT LOCKABLE STORES,dacf,8/26/2009,12/15/2009,,,,Bia West District Assembly,2009-08-26,2009-12-15,
Bia West District Assembly,2012,CONSTRUCTION OF 3NO 2 UNIT FLATS SEMI DETACHED,dacf,9/26/2009,1/5/2011,,,,Bia West District Assembly,2009-09-26,2011-01-05,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT FLATS FOR JUNIOR,dacf,10/26/2010,12/20/2010,,,,Bia West District Assembly,2010-10-26,2010-12-20,
Bia West District Assembly,2012,CONSTRUCTION OF COMMUNITY CENTRE,ddf,11/18/2011,,,,,Bia West District Assembly,2011-11-18,,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO MOFA OFFICE,other gog,9/22/2008,12/20/2008,,,,Bia West District Assembly,2008-09-22,2008-12-20,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK OFFICE AND STORE AND ACCESSORIES,dacf,5/21/2008,5/21/2008,,,,Bia West District Assembly,2008-05-21,2008-05-21,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK AND ACCESORIES,dacf,10/26/2010,12/10/2010,,,,Bia West District Assembly,2010-10-26,2010-12-10,
Bia West District Assembly,2012,PROVISION OF 600 NO DUAL DESKS FOR BASIC SCHOOLS,dacf,10/4/2009,11/4/2009,,,,Bia West District Assembly,2009-10-04,2009-11-04,
Bia West District Assembly,2012,CONSTRUCTION OF 4 NO KITCHENS & STORES FOR BASIC SCHOOLS BENEFITING FROM THE SCHOOL FEEDING PROGRAMME,dacf,10/4/2009,11/4/2009,,,,Bia West District Assembly,2009-10-04,2009-11-04,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH AUXILIARY FACILITIES,dacf,11/18/2011,7/3/2012,,,,Bia West District Assembly,2011-11-18,2012-07-03,
Bia West District Assembly,2012,CLADDING OF PAVILION LOT 1,ddf,10/3/2009,12/3/2009,,,,Bia West District Assembly,2009-10-03,2009-12-03,
Bia West District Assembly,2012,CLADDING OF PAVILION LOT 2,ddf,10/3/2009,12/3/2009,,,,Bia West District Assembly,2009-10-03,2009-12-03,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 3 UNIT CLASSROOM BLOCK OFFICE STORE AND ACCESSORIES,ddf,10/3/2009,12/3/2009,,,,Bia West District Assembly,2009-10-03,2009-12-03,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 3 UNIT CLASSROOM BLOCK OFFICE STORE AND ACCESSORIES,ddf,10/3/2009,12/3/2009,,,,Bia West District Assembly,2009-10-03,2009-12-03,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK AND ACCESSORIES,ddf,1/18/2011,2/2/2011,,,,Bia West District Assembly,2011-01-18,2011-02-02,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK WITH AUXILIARY FACILITIES,ddf,1/18/2011,3/30/2012,,,,Bia West District Assembly,2011-01-18,2012-03-30,
Bia West District Assembly,2012,"CONST OF 1NO 3-UNIT CLASSROOM BLOCK OFFICE, STORE AND ACCESSORIES",getfund,6/15/2007,9/16/2010,,,,Bia West District Assembly,2007-06-15,2010-09-16,
Bia West District Assembly,2012,CONST OF 1 NO KINDERGARTEN BLOCK,getfund,6/15/2007,8/6/2007,,,,Bia West District Assembly,2007-06-15,2007-08-06,
Bia West District Assembly,2012,ERECTION OF 1 NO DISTRICT EDUCATION OFFICE BLOCK,getfund,6/15/2007,9/4/2007,,,,Bia West District Assembly,2007-06-15,2007-09-04,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLOCK AND ACCESSORIES,getfund,6/15/2007,9/16/2010,,,,Bia West District Assembly,2007-06-15,2010-09-16,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 6 UNIT CLASSROOM BLOCK AND ACCESSORIES,getfund,8/20/2010,9/16/2010,,,,Bia West District Assembly,2010-08-20,2010-09-16,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 10 UNIT GIRLS DORMITORY WITH ANCILLARY FACILITIES,getfund,11/23/2011,2/24/2012,,,,Bia West District Assembly,2011-11-23,2012-02-24,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLOCK WITH AUXILIARY FACILITIES,getfund,11/15/2011,4/30/2012,,,,Bia West District Assembly,2011-11-15,2012-04-30,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLCOK WITH AUXILIARY FACILITIES,getfund,11/15/2011,3/30/2012,,,,Bia West District Assembly,2011-11-15,2012-03-30,
Bia West District Assembly,2012,CONSTRUCTION OF 1 NO 6 UNIT CLASSROOM BLOCK WITH AUXILIARY FACILITIES,getfund,12/21/2011,3/30/2012,,,,Bia West District Assembly,2011-12-21,2012-03-30,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 3 UNIT CLASSROOM BLOCK,other donor,,4/21/2008,,,,Bia West District Assembly,,2008-04-21,
Bia West District Assembly,2012,ERECTION OF 2 NO 3 UNIT TEACHERS ACCOMDATION,other/unknown,,8/23/2007,,,,Bia West District Assembly,,2007-08-23,
Bia West District Assembly,2012,ERECTION OF 1 NO TEACHERS ACCOMMODATION,other/unknown,,8/23/2007,,,,Bia West District Assembly,,2007-08-23,
Bia West District Assembly,2012,CONSTRUCTION OF DISTRICT HOSPITAL,other donor,12/16/2006,3/12/2007,,,,Bia West District Assembly,2006-12-16,2007-03-12,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO CHPS COMPOUND & OPD,multiple,11/9/2009,12/22/2009,,,,Bia West District Assembly,2009-11-09,2009-12-22,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO SLAUGHTER HOUSE,dacf,6/14/2007,6/22/2007,,,,Bia West District Assembly,2007-06-14,2007-06-22,
Bia West District Assembly,2012,CONSTRUCTION OF 1NO 12 SEATER AQUA PRIVY TOILET,dacf,10/26/2010,12/15/2010,,,,Bia West District Assembly,2010-10-26,2010-12-15,
Bia West District Assembly,2012,CONSTRUCTION OF 3NO MECHANIZED BOREHOLES FITTED WITH PUMPS TO THE ASSEMBLYS NEW RESIDENTIAL AREA AND OFFICE BLOCK,dacf,7/5/2006,9/18/2006,,,,Bia West District Assembly,2006-07-05,2006-09-18,
Bia West District Assembly,2012,CONSTRUCTION OF 17 NO BOREHOLES FITTED WITH PUMPS IN THE DISTRICT,dacf,11/26/2010,9/30/2010,,,,Bia West District Assembly,2010-11-26,2010-09-30,
Biakoye District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,getfund,9/15/2010,,,,,Biakoye District Assembly,2010-09-15,,
Biakoye District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,getfund,9/15/2010,,,,,Biakoye District Assembly,2010-09-15,,
Biakoye District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,getfund,9/15/2010,,,,,Biakoye District Assembly,2010-09-15,,
Biakoye District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,getfund,9/15/2010,,,,,Biakoye District Assembly,2010-09-15,,
Biakoye District Assembly,2012,CONSTRUCTION OF 6 UNIT CLASSROOM BLOCK WITH ANCILLARY FACILITIES,getfund,9/15/2010,,,,,Biakoye District Assembly,2010-09-15,,
